,target,prime,RT,RT_std,acc,acc_std,path sim
1841,wire,electrician,526.2682926829268,127.95976406477232,1.0,0.0,0.0769230769230769
1842,octopus,eight,543.4565217391304,155.14894743782654,1.0,0.0,0.0714285714285714
1843,octopus,nag,651.0,,1.0,,0.0909090909090909
1844,octopus,bit,591.3035714285714,296.7081773939969,0.9464285714285714,0.227207782928703,0.0833333333333333
1845,octopus,prayer,558.3548387096774,221.4088345694078,1.0,0.0,0.0714285714285714
1846,octopus,squid,521.46875,117.655315160361,1.0,0.0,0.3333333333333333
1847,lace,shoe,542.2602739726027,227.7101610111013,0.9863013698630136,0.11704114719613057,0.1428571428571428
1848,lace,spine,524.9090909090909,167.30137728587545,0.9454545454545454,0.2291838836507762,0.0769230769230769
1849,lace,frill,589.0149253731344,229.2529033911063,1.0,0.0,0.0769230769230769
1850,lace,fight,547.9375,212.87569105096412,1.0,0.0,0.0714285714285714
1851,secure,scholarship,558.1868131868132,197.93455215117683,0.989010989010989,0.1048284836721918,0.0769230769230769
1852,secure,communist,542.0,,1.0,,0.0833333333333333
1853,secure,insecure,538.6666666666666,160.0075282319838,0.9555555555555556,0.2084090771399927,0.2
1854,secure,protect,574.1923076923077,352.06043590256417,0.9807692307692307,0.1386750490563073,0.1428571428571428
1855,secure,lick,542.9795918367347,114.3281989485968,0.9795918367346939,0.14285714285714288,0.1111111111111111
1856,color,brown,540.3382352941177,169.51701453758218,0.9852941176470589,0.1212678125181665,0.3333333333333333
1857,color,outdoors,955.0,,1.0,,0.0833333333333333
1858,color,actor,543.3404255319149,386.712862616255,0.9574468085106383,0.2040297088885788,0.0833333333333333
1859,color,hanger,520.3484848484849,176.2846031432164,0.9545454545454546,0.20989507868443236,0.0909090909090909
1860,color,hue,518.5454545454545,194.1824028958484,1.0,0.0,0.25
1861,dictionary,anisette,584.8852459016393,128.11688652173007,1.0,0.0,0.0526315789473684
1862,dictionary,fork,554.4047619047619,125.03425082436502,0.9761904761904762,0.1543033499620919,0.0714285714285714
1863,dictionary,factor,607.6086956521739,241.4123714940224,0.967391304347826,0.17858337274913305,0.0476190476190476
1864,dictionary,define,540.1914893617021,120.5578768273765,1.0,0.0,0.0625
1865,oxygen,rocks,555.375,127.51122373927394,0.975,0.15811388300841897,0.1111111111111111
1866,oxygen,nitrogen,526.32,116.33934056097345,1.0,0.0,0.3333333333333333
1867,oxygen,hydrogen,510.41379310344826,143.05182896882118,1.0,0.0,0.3333333333333333
1868,oxygen,fire,539.5384615384615,202.60771977367523,0.9871794871794872,0.11322770341445956,0.1
1869,oven,nag,538.2786885245902,198.51566950306815,1.0,0.0,0.0666666666666666
1870,oven,smother,769.0,,1.0,,0.0555555555555555
1871,oven,microwave,495.4864864864865,150.46305178305295,1.0,0.0,0.0526315789473684
1872,oven,earring,523.6875,152.2446458199797,0.9791666666666666,0.14433756729740646,0.0833333333333333
1873,oven,refrigerator,533.6727272727272,153.748478408063,1.0,0.0,0.2
1874,oven,refreigerator,514.375,101.02041872809674,1.0,0.0,0.0
1875,neighborhood,tropical,585.0540540540541,139.4915262153436,1.0,0.0,0.1
